name,online_order,book_table,rate,votes,location,rest_type,cuisines,2_people,type
Foodiction,Yes,No,2.8,506,Banashankari,Quick Bites,others,500.0,Delivery
Sweet Truth,Yes,No,3.9,35,Banashankari,Delivery,"Bakery, Desserts",500.0,Delivery
Ovenstory Pizza,Yes,No,3.9,172,Banashankari,Delivery,Pizza,750.0,Delivery
Faasos,Yes,No,4.2,415,Banashankari,Quick Bites,others,500.0,Delivery
Behrouz Biryani,Yes,No,3.9,230,Banashankari,Delivery,Biryani,650.0,Delivery
Fast And Fresh,Yes,No,2.8,91,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food",400.0,Delivery
Szechuan Dragon,Yes,No,4.2,1647,Banashankari,Casual Dining,others,600.0,Delivery
Empire Restaurant,Yes,No,4.4,4884,Jayanagar,Casual Dining,others,750.0,Delivery
Maruthi Davangere Benne Dosa,Yes,No,4.0,17,Banashankari,Quick Bites,South Indian,150.0,Delivery
Chaatimes,Yes,No,3.8,133,Basavanagudi,Quick Bites,others,200.0,Delivery
Havyaka Mess,No,No,3.9,28,Banashankari,others,South Indian,300.0,Delivery
McDonald's,Yes,No,3.9,286,Banashankari,Quick Bites,"Burger, Fast Food",500.0,Delivery
Domino's Pizza,Yes,No,3.9,540,Banashankari,Quick Bites,"Pizza, Fast Food",800.0,Delivery
Onesta,Yes,Yes,4.6,2556,Banashankari,others,others,600.0,Delivery
Hotboxit,No,No,3.8,36,Banashankari,Delivery,others,400.0,Delivery
Kitchen Garden,Yes,No,3.6,244,others,Quick Bites,"North Indian, Chinese",300.0,Delivery
Recipe,Yes,No,4.0,804,others,Casual Dining,others,450.0,Delivery
Beijing Bites,Yes,No,3.7,679,others,Casual Dining,"Chinese, Thai",850.0,Delivery
Tasty Bytes,Yes,No,3.1,245,others,Quick Bites,others,300.0,Delivery
Petoo,No,No,3.7,21,Banashankari,Quick Bites,North Indian,450.0,Delivery
Shree Cool Point,Yes,No,4.1,28,others,Quick Bites,others,150.0,Delivery
Corner House Ice Cream,No,No,4.3,345,Banashankari,Dessert Parlor,"Ice Cream, Desserts",400.0,Delivery
Biryanis And More,Yes,No,4.0,618,Jayanagar,Casual Dining,others,750.0,Delivery
Roving Feast,No,No,4.0,1047,Banashankari,Quick Bites,others,450.0,Delivery
FreshMenu,Yes,No,3.9,627,Banashankari,Delivery,others,450.0,Delivery
Banashankari Donne Biriyani,Yes,No,3.8,104,Banashankari,Quick Bites,others,300.0,Delivery
Wamama,Yes,Yes,4.2,354,Banashankari,Casual Dining,others,800.0,Delivery
Five Star Chicken,No,No,3.6,55,Banashankari,Quick Bites,others,200.0,Delivery
XO Belgian Waffle,Yes,No,3.7,17,Banashankari,Dessert Parlor,"Desserts, Beverages",400.0,Delivery
Peppy Peppers,No,No,4.2,244,Banashankari,Casual Dining,others,800.0,Delivery
Goa 0 Km,Yes,Yes,3.6,163,others,Casual Dining,others,800.0,Delivery
Chinese Kitchen,Yes,No,3.8,58,Basavanagudi,Quick Bites,Chinese,150.0,Delivery
1947,No,Yes,4.0,808,Banashankari,Casual Dining,"North Indian, Chinese",850.0,Delivery
Cake of the Day,No,No,3.7,78,Banashankari,others,Bakery,150.0,Delivery
Kabab Magic,Yes,No,4.1,1720,Basavanagudi,Quick Bites,others,400.0,Delivery
Namma Brahmin's Idli,Yes,No,3.6,34,Jayanagar,Quick Bites,South Indian,100.0,Delivery
Gustoes Beer House,No,No,4.1,868,Banashankari,others,others,1200.0,Delivery
Sugar Rush,No,No,3.8,39,Banashankari,others,"Bakery, Desserts",300.0,Delivery
Burger King,Yes,No,3.2,71,Basavanagudi,Quick Bites,others,600.0,Delivery
The Good Bowl,Yes,No,3.6,6,Banashankari,"Takeaway, Delivery",others,500.0,Delivery
The Biryani Cafe,No,No,4.1,520,Banashankari,Quick Bites,others,300.0,Delivery
Spicy Tandoor,No,No,3.7535684020485616,0,Banashankari,Quick Bites,North Indian,150.0,Delivery
LSD Cafe,No,No,2.9,84,Banashankari,Delivery,others,700.0,Delivery
Rolls On Wheels,No,No,3.6,299,Banashankari,Quick Bites,others,300.0,Delivery
Om Sri Vinayaka Chats,No,No,3.7535684020485616,0,Banashankari,"Takeaway, Delivery",others,500.0,Delivery
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558,Basavanagudi,Quick Bites,South Indian,150.0,Delivery
Devanna Dum Biriyani Centre,Yes,No,3.6,28,Banashankari,Quick Bites,others,300.0,Delivery
Kolbeh,No,No,3.7,22,Banashankari,Quick Bites,Fast Food,500.0,Delivery
Upahar Sagar,No,No,3.8,39,Banashankari,Quick Bites,others,350.0,Delivery
Kadalu Sea Food Restaurant,Yes,No,3.8,153,others,others,others,500.0,Delivery
Frozen Bottle,Yes,No,4.2,146,Banashankari,others,others,400.0,Delivery
Parimala Sweets,No,No,3.5,14,Banashankari,others,"Mithai, Street Food",200.0,Delivery
Vaishali Deluxe,No,No,3.8,42,Banashankari,Casual Dining,"North Indian, Chinese",700.0,Delivery
Chill Out,No,No,3.7535684020485616,0,Banashankari,Quick Bites,"South Indian, Chinese",100.0,Delivery
The Big O Bakes,No,No,4.0,66,Banashankari,others,"Bakery, Desserts",300.0,Delivery
Meghana Foods,Yes,No,4.4,4401,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese",600.0,Delivery
Krishna Sagar,No,No,3.5,31,Banashankari,Quick Bites,North Indian,200.0,Delivery
Dessert Rose,No,No,3.5,7,Banashankari,Dessert Parlor,Desserts,500.0,Delivery
Chickpet Donne Biryani House,No,No,3.7,21,Banashankari,Quick Bites,Biryani,250.0,Delivery
Me And My Cake,No,No,3.7535684020485616,0,Banashankari,Delivery,"Bakery, Desserts",500.0,Delivery
Sunsadm,No,No,3.7535684020485616,0,Banashankari,"Takeaway, Delivery",South Indian,400.0,Delivery
Annapooraneshwari Mess,No,No,3.7535684020485616,0,Banashankari,others,South Indian,200.0,Delivery
Thanco's Natural Ice Creams,No,No,3.2,9,Banashankari,Dessert Parlor,Ice Cream,300.0,Delivery
Nandhini Deluxe,No,No,2.6,283,Banashankari,Casual Dining,North Indian,600.0,Delivery
Vi Ra's Bar and Restaurant,No,No,3.3,62,Banashankari,others,"South Indian, North Indian, Chinese",800.0,Delivery
Kaggis,No,No,3.8,64,Banashankari,Quick Bites,others,250.0,Delivery
Ayda Persian Kitchen,No,No,3.7,39,Banashankari,Casual Dining,others,950.0,Delivery
Chatar Patar,No,No,3.7,65,Banashankari,Quick Bites,others,300.0,Delivery
Polar Bear,Yes,No,3.8,71,Basavanagudi,Dessert Parlor,others,400.0,Delivery
Kidambi's Kitchen,No,No,3.5,52,Banashankari,Quick Bites,South Indian,300.0,Delivery
Mane Thindi,No,No,3.7,130,Banashankari,Quick Bites,South Indian,200.0,Delivery
Kotian Karavali Restaurant,No,No,3.5,10,Banashankari,Quick Bites,"South Indian, Biryani",300.0,Delivery
Floured-Baked With Love,No,No,3.8,45,Banashankari,"Takeaway, Delivery",Bakery,400.0,Delivery
CAFE NOVA,No,No,3.2,11,Banashankari,Cafe,others,600.0,Delivery
Cakes & Slices,No,No,3.5,13,Banashankari,others,"Bakery, Desserts",300.0,Delivery
Spice 9,No,No,3.4,8,Banashankari,Quick Bites,others,300.0,Delivery
Coffee Shopee,No,No,3.7535684020485616,0,Banashankari,"Takeaway, Delivery",Beverages,250.0,Delivery
Naveen Kabab & Biriyani Mane,No,No,3.2,9,Banashankari,Quick Bites,Biryani,300.0,Delivery
Katriguppe Donne Biryani,No,No,3.2,4,Banashankari,Quick Bites,North Indian,300.0,Delivery
Hari Super Sandwich,No,No,3.7535684020485616,0,Banashankari,"Takeaway, Delivery",others,200.0,Delivery
Atithi Point Ande Ka Funda,No,No,3.1,29,Banashankari,Quick Bites,North Indian,150.0,Delivery
Just Bake,No,No,3.4,8,Banashankari,others,"Bakery, Desserts",400.0,Delivery
Dharwad Line Bazaar Mishra Pedha,No,No,3.7535684020485616,0,Banashankari,Dessert Parlor,others,150.0,Delivery
Cake Bite,No,No,3.7535684020485616,0,Banashankari,others,Bakery,300.0,Delivery
Aarush's Food Plaza,No,No,3.7535684020485616,0,Banashankari,Quick Bites,others,200.0,Delivery
Wood Stove,No,No,3.7535684020485616,0,Banashankari,"Takeaway, Delivery",South Indian,150.0,Delivery
Kulfi & More,No,No,3.7535684020485616,0,Banashankari,Dessert Parlor,others,150.0,Delivery
Kannadigas Karavali,No,No,3.7535684020485616,0,Banashankari,Quick Bites,others,250.0,Delivery
K27 - The Pub,No,No,3.1,30,Banashankari,others,"Chinese, North Indian",1000.0,Delivery
Bengaluru Coffee House,Yes,No,4.1,201,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300.0,Delivery
New Mangalore Lunch Home,No,No,3.3,7,Banashankari,Quick Bites,others,200.0,Delivery
Coffee Bytes,No,No,3.1,6,Banashankari,Quick Bites,others,100.0,Delivery
Parjanya Chat Zone,No,No,3.3,17,Banashankari,Quick Bites,others,200.0,Delivery
Kwality Wall's Swirl's Happiness Station,No,No,2.9,25,Banashankari,Dessert Parlor,"Ice Cream, Desserts",200.0,Delivery
Soms Kitchen & Bakes,No,No,3.7535684020485616,0,Banashankari,Delivery,others,400.0,Delivery
Banashankari Nati Style,No,No,3.7535684020485616,0,Banashankari,Quick Bites,others,350.0,Delivery
Ruchi Maayaka,No,No,3.3,8,Banashankari,Delivery,South Indian,100.0,Delivery
Mohitesh Hut Roll,No,No,3.7535684020485616,0,Banashankari,Quick Bites,others,150.0,Delivery
Sri Basaveshwar Jolada Rotti Oota,No,No,3.7535684020485616,0,Banashankari,Quick Bites,South Indian,150.0,Delivery
Roll Magic Fast Food,No,No,3.7535684020485616,0,Banashankari,"Takeaway, Delivery",others,200.0,Delivery
Foodlieious Multi Cuisine,No,No,3.7535684020485616,0,Banashankari,Quick Bites,North Indian,100.0,Delivery
Thanishka Nati And Karavali Style,No,No,3.7535684020485616,0,Banashankari,Quick Bites,others,400.0,Delivery
Swathi Cool Point,No,No,3.7535684020485616,0,Banashankari,others,others,200.0,Delivery
Kaumudis Juoice,No,No,3.7535684020485616,0,Banashankari,others,others,150.0,Delivery
Amma - Manae,No,No,3.7535684020485616,0,Banashankari,"Takeaway, Delivery",South Indian,400.0,Delivery
Sri Sai Tiffannies,No,No,3.7535684020485616,0,Banashankari,Quick Bites,"South Indian, Chinese",150.0,Delivery
Hotel Andhra Speices,No,No,3.7535684020485616,0,Banashankari,Quick Bites,others,250.0,Delivery
Sri Murari Family Restaurant,No,No,3.7535684020485616,0,Banashankari,Quick Bites,Biryani,250.0,Delivery
Aramane Donne Biriyani,No,No,3.7535684020485616,0,Banashankari,Quick Bites,"South Indian, Biryani",150.0,Delivery
Darkolates,No,No,3.7535684020485616,0,Banashankari,others,Desserts,200.0,Delivery
Swaada Healthy Kitchen,No,No,3.7535684020485616,0,Banashankari,others,others,350.0,Delivery
Gawdaru Mane Beriyani,No,No,3.7535684020485616,0,Banashankari,Quick Bites,"South Indian, Biryani",300.0,Delivery
Melting Melodies,No,No,3.7535684020485616,0,Banashankari,"Takeaway, Delivery","Pizza, Fast Food",100.0,Delivery
New Indraprasta,No,No,3.7535684020485616,0,Banashankari,Quick Bites,others,150.0,Delivery
Anna Kuteera,Yes,No,4.0,771,Banashankari,Casual Dining,"South Indian, North Indian, Chinese",450.0,Delivery
Darbar,No,No,3.0,98,Banashankari,others,"North Indian, Chinese",800.0,Delivery
Vijayalakshmi,Yes,No,3.9,47,Basavanagudi,Quick Bites,South Indian,200.0,Delivery
Sri Udupi Food Hub,Yes,Yes,4.1,175,Jayanagar,Casual Dining,others,500.0,Delivery
Udupi Upahar,Yes,No,3.8,58,Banashankari,Quick Bites,others,300.0,Delivery
House Of Kebabs,Yes,No,3.8,540,Basavanagudi,Casual Dining,others,650.0,Delivery
Roll N Rock,Yes,No,3.8,124,others,Quick Bites,others,400.0,Delivery
BOX8- Desi Meals,Yes,No,4.1,340,Banashankari,"Takeaway, Delivery",others,500.0,Delivery
KFC,Yes,No,3.8,505,Banashankari,Quick Bites,"Burger, Fast Food",450.0,Delivery
Bitez,No,No,3.7535684020485616,0,Banashankari,Quick Bites,Fast Food,100.0,Delivery
Roll Over,Yes,No,4.1,438,Jayanagar,Dessert Parlor,others,500.0,Delivery
Imperial Restaurant,Yes,No,3.7,264,others,Casual Dining,others,750.0,Delivery
Lassi Shop,Yes,No,3.9,169,others,others,others,150.0,Delivery
The Fortuna,Yes,No,3.0,67,others,Quick Bites,"North Indian, Chinese",250.0,Delivery
Wahab,Yes,No,3.7,97,Jayanagar,Quick Bites,others,350.0,Delivery
Al Diwan Biryanis And More,Yes,No,3.3,12,Basavanagudi,"Takeaway, Delivery",Biryani,300.0,Delivery
New Gowda's Fried Chicken,Yes,No,3.3,12,Banashankari,Quick Bites,Biryani,300.0,Delivery
Canton,Yes,No,3.6,195,Jayanagar,Casual Dining,others,800.0,Delivery
Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,3.3,13,Basavanagudi,others,others,300.0,Delivery
The Blue Wagon - Kitchen,Yes,No,4.6,228,Jayanagar,Cafe,others,400.0,Delivery
HOT COFFEE,Yes,No,4.1,70,Basavanagudi,Quick Bites,"South Indian, Chinese",150.0,Delivery
Patio 805,Yes,Yes,4.1,364,Jayanagar,Casual Dining,others,1200.0,Delivery
Lassi Corner,Yes,No,3.7,107,Basavanagudi,others,others,150.0,Delivery
Sagar Deluxe,Yes,No,3.2,167,others,Quick Bites,others,300.0,Delivery
Kanti Sweets,Yes,No,4.0,115,Banashankari,others,"Mithai, Street Food",400.0,Delivery
Vegetalia,Yes,No,3.7,27,Banashankari,"Takeaway, Delivery",others,400.0,Delivery
Aramane Donne Biryani,Yes,No,3.5,57,Banashankari,Quick Bites,Biryani,200.0,Delivery
Ande Ka Funda,Yes,No,3.8,120,Banashankari,Quick Bites,others,250.0,Delivery
Cake Ghar,Yes,No,3.8,15,Basavanagudi,others,Bakery,400.0,Delivery
Energy Addaa,Yes,No,4.2,64,Basavanagudi,Quick Bites,others,500.0,Delivery
Bhattara Bhojana,Yes,No,3.6,66,Banashankari,Quick Bites,South Indian,150.0,Delivery
Tandoori Knight,Yes,No,3.0,290,Banashankari,Quick Bites,others,450.0,Delivery
Dev Sagar - Food Street,Yes,No,4.1,233,Basavanagudi,Quick Bites,Street Food,200.0,Delivery
Mitraa Da Pizza,Yes,No,3.8,115,others,Quick Bites,others,250.0,Delivery
Paradise Premium,Yes,No,3.1,119,Banashankari,Casual Dining,others,700.0,Delivery
Grazers,Yes,Yes,3.9,291,Jayanagar,Cafe,others,650.0,Delivery
Shakes Theory,Yes,No,4.5,155,Jayanagar,others,others,300.0,Delivery
@Italy,Yes,No,4.1,305,others,Casual Dining,others,700.0,Delivery
Chilli Flakes,Yes,No,3.6,46,Banashankari,Quick Bites,others,500.0,Delivery
Calcutta Cafe,Yes,No,3.5,45,others,Quick Bites,others,350.0,Delivery
Old Mumbai Ice Cream,Yes,No,3.9,38,Banashankari,Dessert Parlor,Ice Cream,150.0,Delivery
Donne Biriyani House,Yes,No,3.9,441,Banashankari,Quick Bites,others,400.0,Delivery
By 2 Coffee,Yes,No,3.9,25,Basavanagudi,Quick Bites,South Indian,100.0,Delivery
Kedia's Fun Food,Yes,No,4.3,630,Jayanagar,Quick Bites,others,200.0,Delivery
Davangere Butter Dosa Hotel,Yes,No,3.8,25,others,Quick Bites,South Indian,150.0,Delivery
Just Shawarma,Yes,No,3.9,160,others,Quick Bites,others,300.0,Delivery
Mini Punjabi Dhaba,Yes,No,4.2,287,Banashankari,Quick Bites,North Indian,350.0,Delivery
Mulabagilu Dosa,Yes,No,3.6,11,Basavanagudi,Quick Bites,South Indian,100.0,Delivery
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1,402,Banashankari,Cafe,Cafe,500.0,Delivery
Gokul Veg,Yes,No,3.8,469,Basavanagudi,Casual Dining,others,750.0,Delivery
Olive - Era,Yes,No,3.3,511,others,Casual Dining,others,550.0,Delivery
Udupi Ruchi,Yes,No,3.9,57,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200.0,Delivery
Madhappa Hindu Military Hotel,Yes,No,3.4,14,Banashankari,Quick Bites,South Indian,300.0,Delivery
Gama Gama,Yes,No,3.9,264,Banashankari,Quick Bites,South Indian,200.0,Delivery
The Vintage Cafe,Yes,No,3.0,62,Banashankari,Cafe,others,400.0,Delivery
Pizza Hut,Yes,No,3.8,693,Banashankari,Casual Dining,"Pizza, Fast Food",750.0,Delivery
Mangalore Pearl,Yes,No,3.8,242,Jayanagar,Casual Dining,others,650.0,Delivery
Asha Sweets Centre,Yes,No,3.6,27,Basavanagudi,Dessert Parlor,Fast Food,250.0,Delivery
Twiststick House,Yes,No,4.1,163,Basavanagudi,Quick Bites,others,500.0,Delivery
Cool Corner,Yes,No,4.2,191,Basavanagudi,Quick Bites,others,250.0,Delivery
Pizza Mane,Yes,No,3.5,32,Banashankari,Quick Bites,others,150.0,Delivery
Dal Tadkaa,Yes,No,2.5,247,Banashankari,Casual Dining,North Indian,500.0,Delivery
Chutney Chang,Yes,Yes,4.1,2339,Jayanagar,Casual Dining,others,1500.0,Delivery
Mystique Palate,Yes,No,4.1,337,Jayanagar,Quick Bites,others,300.0,Delivery
Thamboola,Yes,No,3.9,135,Banashankari,Casual Dining,others,800.0,Delivery
Castle Rock,Yes,No,3.6,172,others,Casual Dining,"North Indian, Chinese",700.0,Delivery
Vietnamese Kitchen,Yes,No,3.6,105,Banashankari,Casual Dining,others,700.0,Delivery
Smacznego,Yes,No,4.2,504,Banashankari,Cafe,others,550.0,Delivery
C Corner,Yes,No,3.2,36,others,Quick Bites,others,200.0,Delivery
Paratha Merchant,Yes,No,3.1,39,others,Quick Bites,North Indian,300.0,Delivery
North Rasoe,Yes,No,3.1,5,others,Casual Dining,others,500.0,Delivery
Inchara Restaurant,Yes,No,3.7535684020485616,0,Basavanagudi,Quick Bites,"North Indian, Chinese",300.0,Delivery
Toscano,Yes,Yes,4.3,1129,Jayanagar,Casual Dining,others,1300.0,Delivery
Lord Of The Kitchen,Yes,No,3.9,56,others,Quick Bites,"North Indian, Chinese",350.0,Delivery
Stoned Monkey,Yes,No,4.3,860,Banashankari,Dessert Parlor,"Desserts, Ice Cream",500.0,Delivery
Central Jail Restaurant,Yes,No,3.8,412,Jayanagar,Casual Dining,others,700.0,Delivery
Bella,Yes,Yes,3.9,142,Jayanagar,Casual Dining,others,1000.0,Delivery
Vennela Andhra Meals,Yes,No,3.0,23,Jayanagar,Quick Bites,others,400.0,Delivery
New Prashanth Hotel,Yes,No,3.6,143,Jayanagar,Casual Dining,others,750.0,Delivery
The Grillo,Yes,Yes,2.8,80,Jayanagar,Casual Dining,others,500.0,Delivery
Re Malnad Nati Style Hotel,Yes,No,3.6,16,JP Nagar,Casual Dining,South Indian,400.0,Delivery
Karma Kaapi,Yes,No,4.4,181,Jayanagar,others,others,250.0,Delivery
Tiwari's,Yes,No,3.8,70,Jayanagar,Quick Bites,others,200.0,Delivery
Pizza Stop,Yes,No,3.8,164,Basavanagudi,Quick Bites,others,600.0,Delivery
Biggies Burger 'n' More,Yes,No,3.6,58,others,Quick Bites,others,650.0,Delivery
Srinathji's Cafe,No,No,3.8,148,Basavanagudi,others,others,550.0,Delivery
Kollapuri's,No,No,3.9,206,Basavanagudi,Quick Bites,others,450.0,Delivery
Sugar Stars Co,No,No,3.7535684020485616,0,Basavanagudi,others,"Bakery, Desserts",300.0,Delivery
Bombay Kulfis,No,No,3.7535684020485616,0,JP Nagar,Dessert Parlor,Ice Cream,200.0,Delivery
Kadamba Classic,No,No,3.6,16,others,Quick Bites,South Indian,300.0,Delivery
RS Shiv Sagar,No,No,3.7,217,Basavanagudi,Casual Dining,others,450.0,Delivery
Kholi Mane,No,No,3.6,46,Basavanagudi,Quick Bites,others,450.0,Delivery
Harshi Super Sandwich,No,No,3.8,148,Basavanagudi,Quick Bites,others,150.0,Delivery
Cake Yard,No,No,3.4,30,Basavanagudi,Dessert Parlor,Desserts,250.0,Delivery
Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,others,Casual Dining,others,800.0,Delivery
Sri Udupi Veg,No,No,3.3,4,Jayanagar,Quick Bites,South Indian,250.0,Delivery
Cake Art,No,No,3.5,15,Basavanagudi,others,Bakery,400.0,Delivery
Aahar Cafe,No,No,3.7535684020485616,0,Basavanagudi,Quick Bites,South Indian,100.0,Delivery
Akash Gowdru Biryani Center,No,No,3.7535684020485616,0,others,Quick Bites,"North Indian, Chinese",300.0,Delivery
New Sri Udupi Restaurant,No,No,3.7535684020485616,0,Jayanagar,Quick Bites,others,200.0,Delivery
Potato House,Yes,No,3.4,9,others,Quick Bites,Street Food,200.0,Delivery
Hotel Biriyani Counter,No,No,3.7535684020485616,0,others,Quick Bites,"North Indian, Chinese, Biryani",350.0,Delivery
Matru Sagar,Yes,No,3.7,31,others,Quick Bites,"South Indian, North Indian",300.0,Delivery
Ugadi,Yes,No,2.9,177,Jayanagar,Casual Dining,others,700.0,Delivery
Sri Krishna Sweets,Yes,No,3.7,22,Basavanagudi,others,others,250.0,Delivery
In Time Cane Juice,Yes,No,3.5,10,others,others,others,100.0,Delivery
Subway,Yes,No,3.7,136,Banashankari,Quick Bites,others,600.0,Delivery
Daal Roti,Yes,No,2.9,35,others,Quick Bites,"North Indian, Chinese",250.0,Delivery
The Lassi Park,Yes,No,4.1,185,Jayanagar,Quick Bites,others,200.0,Delivery
Cafe Coffee Day,Yes,No,3.2,17,Jayanagar,Cafe,"Cafe, Fast Food",900.0,Delivery
A2B - Adyar Ananda Bhavan,Yes,No,3.8,155,others,Casual Dining,"South Indian, North Indian, Chinese, Street Food",400.0,Delivery
Srikrishna Bhavan,Yes,No,3.8,42,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",300.0,Delivery
Timepass Dinner,Yes,No,3.8,286,Basavanagudi,Casual Dining,North Indian,600.0,Delivery
Green Gardenia,Yes,No,3.8,160,Banashankari,Casual Dining,"North Indian, Chinese",700.0,Delivery
J Spice,Yes,No,3.8,59,Banashankari,Casual Dining,"North Indian, Chinese",750.0,Delivery
Karavali Family Restaurant,Yes,No,3.5,90,Jayanagar,Casual Dining,others,500.0,Delivery
Karavali Lunch Home,Yes,No,3.7,51,others,Quick Bites,others,350.0,Delivery
Hatti Kaapi,Yes,No,4.0,89,Jayanagar,Quick Bites,others,200.0,Delivery
Kolkata Kathi Roll's,Yes,No,3.6,18,Banashankari,Quick Bites,others,250.0,Delivery
Upahara Darshini,Yes,No,3.9,40,Basavanagudi,Casual Dining,others,600.0,Delivery
The Chaat Shop,Yes,No,2.5,35,Basavanagudi,Quick Bites,Fast Food,200.0,Delivery
Anda Ka Funda,Yes,No,3.4,89,Jayanagar,Quick Bites,others,250.0,Delivery
Shri Vinayaka Ice N Juice,Yes,No,3.2,11,Basavanagudi,Quick Bites,"Beverages, Fast Food",150.0,Delivery
My Tea House,Yes,No,3.6,62,Banashankari,others,others,600.0,Delivery
Ibaco,Yes,No,3.9,33,Jayanagar,Dessert Parlor,Desserts,300.0,Delivery
Jalaram Sweets,Yes,No,3.8,32,Jayanagar,others,others,250.0,Delivery
Samskruti - Sanman Gardenia,Yes,No,4.1,139,Jayanagar,Casual Dining,"North Indian, Chinese, South Indian",550.0,Delivery
Bendakaluru Bytes,Yes,No,3.2,154,others,Quick Bites,Fast Food,300.0,Delivery
Cocoa Bakes,Yes,No,3.6,14,Banashankari,others,"Bakery, Desserts",350.0,Delivery
Chumma Delicious,Yes,No,3.7,237,Banashankari,Quick Bites,others,200.0,Delivery
New Prashanth Hotel,Yes,No,3.9,388,Banashankari,Casual Dining,others,650.0,Delivery
SSV Upahar,Yes,No,3.7535684020485616,0,Jayanagar,Quick Bites,"South Indian, Chinese",300.0,Delivery
Dwaraka Grand,Yes,No,3.9,128,others,Casual Dining,others,500.0,Delivery
Gufha - The President Hotel,Yes,Yes,4.1,1875,Jayanagar,Casual Dining,others,1200.0,Delivery
Cafe Vivacity,Yes,No,3.8,90,Banashankari,Cafe,Cafe,650.0,Delivery
Tanna's Kitchen,Yes,No,3.1,7,others,Quick Bites,others,250.0,Delivery
Shree Mandarathi Grand,Yes,No,3.7,38,others,Casual Dining,"South Indian, North Indian",400.0,Delivery
Mojo Pizza - 2X Toppings,Yes,No,4.2,179,Banashankari,Delivery,Pizza,600.0,Delivery
Iceberg Icecreams,Yes,No,4.0,43,Basavanagudi,Dessert Parlor,"Desserts, Ice Cream",250.0,Delivery
South Kitchen,Yes,No,4.3,275,Basavanagudi,Quick Bites,South Indian,100.0,Delivery
Chung Wah,Yes,No,3.7,323,Jayanagar,Casual Dining,others,850.0,Delivery
Shanthi Sagar,Yes,No,3.1,28,others,Casual Dining,"South Indian, North Indian, Chinese",400.0,Delivery
